Demande Devis,Interest Level,Meeting Notes,Decision Level,Connait Marque,converted
True,Chaud,"Besoin de moyenne importance pour chantier en juin, demande de devis immédiat",Chef d'agence négoce,True,1
True,Tiède,"Budget non validé par la direction, projet gelé indéfiniment",Conducteur de travaux,False,0
False,Tiède,"Intéressé mais trouve nos prix trop élevés, compare avec Knauf",Chef d'agence négoce,True,1
False,Tiède,"Test avec un concurrent en cours, reviendra vers nous si insatisfait",Responsable achats,False,0
False,Tiède,"Chantier prévu pour novembre, budget validé, cherche le meilleur rapport qualité-prix",Responsable achats,False,1
True,Froid,"Mauvaise expérience avec une marque similaire, méfiant envers le secteur",Architecte,False,1
False,Froid,"Réunion productive, a partagé les specs du projet mais rien de signé",Responsable achats,True,0
False,Froid,"Budget non validé par la direction, projet gelé indéfiniment",Promoteur immobilier,True,0
True,Chaud,"Veut un devis rapide pour un projet de 1000m², budget disponible",Architecte,True,1
True,Chaud,"Chantier de 200 logements en cours, cherche un fournisseur fiable rapidement",Chef d'agence négoce,False,0
True,Tiède,"Sensible au rapport qualité/prix, attend un geste commercial pour avancer",Responsable achats,True,0
False,Chaud,"Budget signé, commande probable d'ici 3 semaines, très motivé",Chef d'agence négoce,False,0
True,Chaud,"Chantier prévu pour mai, budget validé, cherche le meilleur rapport qualité-prix",Conducteur de travaux,True,1
False,Froid,"A comparé avec Knauf, leur offre est plus compétitive",Responsable achats,False,0
False,Tiède,"Travaille déjà avec Knauf, fidèle mais ouvert à tester sur un petit chantier",Responsable achats,False,0
True,Tiède,A demandé une proposition commerciale pour présenter en interne,Chef d'agence négoce,False,0
True,Chaud,"Projet public validé, commande officielle attendue sous 2 semaines",Architecte,True,1
False,Tiède,"Pas de décision possible sans accord groupe, cycle très long",Chef d'agence négoce,False,1
True,Chaud,"Demande de devis pour 1000m² de matériaux, livraison souhaitée avant septembre",Promoteur immobilier,True,1
True,Chaud,"Travaille déjà avec un concurrent, fidèle mais ouvert à tester sur un petit chantier",Responsable achats,True,0
False,Tiède,"Projet en attente de financement, aucune date de réalisation prévue",Architecte,True,0
False,Tiède,"Bonne réunion, ouvert à une proposition, dépend du budget annuel",Conducteur de travaux,False,0
True,Tiède,"Sensible au rapport qualité/prix, attend un geste commercial pour avancer",Promoteur immobilier,False,1
False,Froid,"Projet en stand-by, décision reportée, pas d'urgence",Chef d'agence négoce,True,0
True,Tiède,"Veut voir une réf chantier avant de s'engager, à organiser une visite",Conducteur de travaux,True,1
False,Tiède,"Veut comparer avec 2 autres fournisseurs avant de décider, à relancer dans 6 semaines",Promoteur immobilier,False,1
True,Chaud,"Avis défavorable du bureau d'études, difficile de convaincre",Promoteur immobilier,False,0
False,Froid,"Chantier prévu en juin, budget ok, compare encore avec Rockwool",Architecte,True,0
False,Chaud,"Très satisfait de la présentation, a partagé nos docs avec son associé",Architecte,True,0
False,Froid,"Réunion téléphonique expéditive, à peine 15 minutes, pas de signal positif",Promoteur immobilier,True,0
False,Froid,Trop petit volume pour justifier un changement de fournisseur selon lui,Architecte,False,0
False,Froid,"Avis défavorable du bureau d'études, difficile de convaincre",Architecte,True,0
True,Froid,"Concurrent bien installé avec un contrat cadre, difficile de rentrer",Promoteur immobilier,False,0
False,Tiède,Demande de documentation mais pas de projet concret à court terme,Architecte,False,0
True,Chaud,"Chantier de 200 logements en cours, cherche un fournisseur fiable rapidement",Promoteur immobilier,False,1
False,Tiède,"Projet signé avec le maître d'ouvrage, prescrit nos produits dans les plans",Chef d'agence négoce,True,0
False,Tiède,"Prix trop élevé selon lui, travaille déjà avec un concurrent satisfaisant",Chef d'agence négoce,False,0
False,Froid,"Commande en préparation pour un chantier 200m², validation imminente",Responsable achats,True,1
True,Chaud,"Knauf déjà présent sur ses chantiers, veut un avantage clair pour switcher",Responsable achats,False,1
False,Chaud,"Urgence réelle, son fournisseur habituel en rupture, cherche une solution immédiate",Architecte,False,0
True,Tiède,"Knauf déjà présent sur ses chantiers, veut un avantage clair pour switcher",Architecte,False,0
False,Tiède,"Connaît la marque de réputation, veut voir des références de chantiers similaires",Chef d'agence négoce,True,0
True,Chaud,"Projet public validé, commande officielle attendue sous fin du trimestre",Chef d'agence négoce,True,1
False,Froid,"Hésitant sur la qualité, a mentionné un problème passé avec un produit similaire",Responsable achats,False,0
False,Tiède,"Besoin urgent avant fin avril, veut avancer rapidement, pas de concurrent mentionné",Chef d'agence négoce,True,1
True,Chaud,"Urgence réelle, son fournisseur habituel en rupture, cherche une solution immédiate",Conducteur de travaux,True,0
False,Tiède,"Projet signé avec le maître d'ouvrage, prescrit nos produits dans les plans",Conducteur de travaux,False,0
False,Tiède,"Veut comparer avec 2 autres fournisseurs avant de décider, à relancer dans 6 semaines",Promoteur immobilier,True,1
False,Tiède,"Projet en attente de validation du maître d'ouvrage, nous recontactera",Chef d'agence négoce,False,0
False,Tiède,Intérêt réel mais cycle budgétaire annuel - décision prévue en septembre,Promoteur immobilier,False,0
False,Froid,"Pas de décision possible sans accord groupe, cycle très long",Chef d'agence négoce,True,0
False,Tiède,"Marché conclu avec le client final, besoin de livrer en fin du mois",Conducteur de travaux,False,1
True,Tiède,"Chantier imminent, a demandé les fiches techniques, budget débloqué",Conducteur de travaux,True,1
False,Tiède,"Projet en stand-by, décision reportée, pas d'urgence",Promoteur immobilier,False,0
False,Chaud,"Chantier imminent, a demandé les fiches techniques, budget débloqué",Conducteur de travaux,True,1
True,Chaud,"Chantier démarré en juin, veut sécuriser les approvisionnements maintenant",Chef d'agence négoce,True,1
False,Froid,"A chiffré avec un concurrent 15% moins cher, demande alignement tarifaire",Conducteur de travaux,True,0
False,Froid,Pas de chantier prévu avant 18 mois minimum,Architecte,False,0
True,Tiède,"Budget signé, commande probable d'ici 3 semaines, très motivé",Architecte,True,0
True,Chaud,"Budget signé, commande probable d'ici 1 mois, très motivé",Chef d'agence négoce,True,1
False,Froid,Demande de documentation mais pas de projet concret à court terme,Responsable achats,False,0
True,Chaud,"Satisfait de son fournisseur actuel, pas de raison évidente de changer",Promoteur immobilier,True,1
False,Tiède,"Partenaire potentiel, budget alloué, premier achat prévu ce trimestre",Promoteur immobilier,False,1
False,Tiède,"Chantier prévu en novembre, budget ok, compare encore avec Knauf",Architecte,True,0
True,Chaud,"Satisfait de son fournisseur actuel, pas motivé pour changer",Conducteur de travaux,False,0
False,Tiède,"Volume important prévu sur l'année, demande tarifs et conditions",Promoteur immobilier,False,1
False,Froid,"Projet reporté à une date indéterminée, pas de budget alloué actuellement",Promoteur immobilier,True,0
False,Tiède,"Pas sensible à nos arguments, resté sur ses positions tout au long de l'entretien",Responsable achats,False,0
True,Chaud,"Marché conclu avec le client final, besoin de livrer en 1 mois",Architecte,False,1
True,Chaud,"Satisfait de son fournisseur actuel, pas de raison évidente de changer",Promoteur immobilier,False,1
False,Froid,"Convoqué par son N+1, pas décideur, ne peut rien valider",Chef d'agence négoce,True,0
False,Tiède,"Projet à confirmer, dépend d'un appel d'offres en cours",Responsable achats,True,0
False,Froid,"Pas de projet signé, en phase de prospection pour lui-même",Chef d'agence négoce,True,0
True,Froid,"Peu réceptif, réunion courte, pas de suite prévue",Chef d'agence négoce,False,0
False,Tiède,"Réticent au changement, processus interne trop lourd selon lui",Responsable achats,False,0
True,Chaud,"Demande urgente de moyenne importance, budget disponible, délai serré mais faisable",Conducteur de travaux,False,1
True,Chaud,"Sensible au service, moins au prix, à convaincre sur notre SAV",Conducteur de travaux,True,1
True,Chaud,"A visité notre showroom, commande test envisagée dès la semaine prochaine",Responsable achats,False,0
False,Tiède,"Volume important prévu sur l'année, demande tarifs et conditions",Architecte,True,1
False,Chaud,"Enthousiaste, a posé des questions très précises sur les délais de livraison",Promoteur immobilier,True,0
False,Tiède,"Bon contact mais la marge est serrée, veut une remise supplémentaire",Conducteur de travaux,False,0
False,Froid,"Avis défavorable du bureau d'études, difficile de convaincre",Conducteur de travaux,True,0
False,Tiède,"Budget annuel disponible, cherche à référencer un nouveau fournisseur rapidement",Responsable achats,True,1
False,Tiède,"Test avec un concurrent en cours, reviendra vers nous si insatisfait",Chef d'agence négoce,True,0
True,Tiède,"Knauf déjà présent sur ses chantiers, veut un avantage clair pour switcher",Responsable achats,False,0
False,Froid,"Intéressé mais trouve nos prix trop élevés, compare avec Knauf",Conducteur de travaux,False,0
False,Tiède,"Projet à confirmer, dépend d'un appel d'offres en cours",Architecte,False,1
False,Tiède,"Travaille déjà avec Isover, fidèle mais ouvert à tester sur un petit chantier",Chef d'agence négoce,True,0
False,Tiède,"Connaît la marque de réputation, veut voir des références de chantiers similaires",Responsable achats,True,0
False,Tiède,"Intéressé par le produit, mais son cycle d'achat est long",Promoteur immobilier,True,1
True,Tiède,"A raccourci la réunion, peu d'engagement, pas de suite annoncée",Responsable achats,True,1
False,Chaud,"Travaille déjà avec Isover, fidèle mais ouvert à tester sur un petit chantier",Conducteur de travaux,False,0
True,Tiède,"Projet résidentiel 80 unités, budget confirmé, veut nos conditions tarifaires",Chef d'agence négoce,False,1
True,Chaud,"Appel entrant - il nous a contacté directement, projet en phase de lancement",Promoteur immobilier,False,1
False,Chaud,"Commande test de 50 unités envisagée, veut valider la qualité avant volume",Responsable achats,False,0
True,Chaud,"Projet résidentiel 80 unités, budget confirmé, veut nos conditions tarifaires",Promoteur immobilier,False,1
False,Tiède,"Projet reporté à une date indéterminée, pas de budget alloué actuellement",Conducteur de travaux,True,0
True,Chaud,"Projet moyenne importance confirmé, budget débloqué, veut démarrer rapidement",Architecte,True,1
False,Froid,"Hésitant sur la qualité, a mentionné un problème passé avec un produit similaire",Conducteur de travaux,True,0
False,Tiède,"Besoin de moyenne importance pour chantier en juin, demande de devis immédiat",Chef d'agence négoce,False,1
True,Chaud,"A posé des questions techniques, compare plusieurs fournisseurs, pas pressé",Conducteur de travaux,False,1
False,Tiède,"Knauf déjà présent sur ses chantiers, veut un avantage clair pour switcher",Promoteur immobilier,False,0
False,Tiède,"Pas de budget disponible cette année, peut-être l'année prochaine",Responsable achats,True,0
False,Froid,"Concurrent bien installé avec un contrat cadre, difficile de rentrer",Responsable achats,False,0
False,Froid,"Mauvaise expérience avec une marque similaire, méfiant envers le secteur",Conducteur de travaux,False,0
True,Chaud,"A déjà travaillé avec nos produits, satisfait, nouvelle commande à venir",Promoteur immobilier,True,1
False,Froid,"Processus d'achat centralisé, décision pas entre ses mains",Promoteur immobilier,True,0
False,Froid,"Budget non validé par la direction, projet gelé indéfiniment",Promoteur immobilier,True,0
False,Tiède,"Chantier en cours, satisfait de notre produit, commande complémentaire prévue",Conducteur de travaux,True,1
True,Chaud,"Chantier en cours, satisfait de notre produit, commande complémentaire prévue",Chef d'agence négoce,False,1
False,Chaud,"Urgence réelle, son fournisseur habituel en rupture, cherche une solution immédiate",Conducteur de travaux,True,1
False,Froid,"Intéressé mais prix au-dessus de son budget initial, cherche à négocier",Promoteur immobilier,True,0
True,Tiède,"A demandé des échantillons, projet probable mais délai incertain",Architecte,True,0
False,Froid,"Hésitant sur la qualité, a mentionné un problème passé avec un produit similaire",Architecte,False,0
True,Chaud,"Budget approuvé, souhaite un rendez-vous pour finaliser la commande",Promoteur immobilier,True,1
False,Froid,"Réticent au changement, processus interne trop lourd selon lui",Promoteur immobilier,False,0
False,Chaud,"Chantier prévu avril, budget ok, compare encore avec Saint-Gobain",Promoteur immobilier,False,1
True,Tiède,"Projet en attente de validation du maître d'ouvrage, nous recontactera",Conducteur de travaux,False,0
False,Froid,"Peu réceptif, réunion courte, pas de suite prévue",Promoteur immobilier,True,0
False,Chaud,"Veut voir une réf chantier avant de s'engager, à organiser une visite",Conducteur de travaux,True,0
False,Froid,"A raccourci la réunion, peu d'engagement, pas de suite annoncée",Chef d'agence négoce,True,0
False,Froid,"Skeptique sur la performance, veut voir des résultats de tests d'abord",Conducteur de travaux,False,0
False,Tiède,"Réunion informative, pas d'engagement, veut comparer les options",Architecte,True,0
False,Tiède,"A demandé un rendez-vous de suivi dans 1 mois, pas de décision avant",Chef d'agence négoce,True,0
False,Froid,"Marché en pause, gel des investissements jusqu'à l'an prochain",Responsable achats,False,0
True,Tiède,"Chantier prévu en septembre, budget ok, compare encore avec Knauf",Conducteur de travaux,False,0
True,Chaud,"Chantier imminent, a demandé les fiches techniques, budget débloqué",Chef d'agence négoce,True,1
False,Froid,"Très attaché à son fournisseur actuel, pas ouvert à un changement",Architecte,False,0
True,Chaud,"Sous contrat cadre avec un concurrent, difficile de rentrer à court terme",Architecte,True,1
False,Chaud,"Chantier démarré en juin, veut sécuriser les approvisionnements maintenant",Conducteur de travaux,True,1
True,Chaud,"Chantier grande envergure à venir, souhaite un partenariat durable avec nous",Chef d'agence négoce,True,1
True,Tiède,"Satisfait de son fournisseur actuel, pas de raison évidente de changer",Architecte,False,1
True,Chaud,"A évoqué Saint-Gobain comme référence, veut des arguments différenciants",Architecte,False,0
False,Tiède,"Enthousiaste, a posé des questions très précises sur les délais de livraison",Promoteur immobilier,False,0
False,Tiède,"Hésitant sur la qualité, a mentionné un problème passé avec un produit similaire",Chef d'agence négoce,True,0
False,Chaud,"Projet confirmé pour Q1, budget validé en interne, très intéressé par nos produits",Conducteur de travaux,False,1
True,Chaud,"Délai serré, très réceptif, souhaite une démo la semaine prochaine",Responsable achats,True,1
True,Chaud,"Très satisfait de la présentation, a partagé nos docs avec son associé",Conducteur de travaux,True,1
False,Froid,Pas de chantier prévu avant 18 mois minimum,Conducteur de travaux,False,0
True,Chaud,"Référencement en cours, premier chantier prévu en novembre, volume un lot complet",Chef d'agence négoce,True,1
False,Tiède,"Besoin de 500m² pour chantier en juin, demande de devis immédiat",Responsable achats,False,1
True,Tiède,"Travaille déjà avec Isover, fidèle mais ouvert à tester sur un petit chantier",Promoteur immobilier,True,0
False,Froid,"Ouvert à travailler avec nous sur un prochain chantier, pas d'urgence immédiate",Conducteur de travaux,False,0
False,Tiède,"Projet à confirmer, dépend d'un appel d'offres en cours",Architecte,True,0
False,Froid,"Partenaire potentiel, budget alloué, premier achat prévu ce trimestre",Architecte,True,1
True,Froid,"Veut diversifier ses fournisseurs, budget alloué, premier essai en vue",Responsable achats,False,1
True,Tiède,"Chantier un lot complet à venir, souhaite un partenariat durable avec nous",Chef d'agence négoce,False,1
False,Tiède,"Ouvert à travailler avec nous sur un prochain chantier, pas d'urgence immédiate",Conducteur de travaux,True,0
False,Froid,"Partenaire potentiel, budget alloué, premier achat prévu ce trimestre",Chef d'agence négoce,False,1
False,Froid,"Mauvaise expérience avec une marque similaire, méfiant envers le secteur",Promoteur immobilier,True,0
True,Chaud,"Chantier imminent, a demandé les fiches techniques, budget débloqué",Promoteur immobilier,False,1
False,Tiède,"Réticent au changement, processus interne trop lourd selon lui",Promoteur immobilier,False,0
False,Froid,"Volume trop faible pour négocier, reste avec son fournisseur habituel",Responsable achats,False,0
True,Chaud,"Réunion très engagée, a pris des notes, veut une offre ferme cette semaine",Chef d'agence négoce,False,0
True,Tiède,"Chantier imminent, a demandé les fiches techniques, budget débloqué",Architecte,False,1
False,Tiède,A demandé une proposition commerciale pour présenter en interne,Responsable achats,True,0
True,Tiède,"Curieux, pose de bonnes questions, mais pas encore en phase de décision",Promoteur immobilier,False,1
False,Chaud,"Bon feeling en réunion, mais projet encore au stade de l'étude de faisabilité",Promoteur immobilier,True,1
True,Chaud,"Sensible au service, moins au prix, à convaincre sur notre SAV",Promoteur immobilier,True,1
True,Chaud,"Projet signé avec le maître d'ouvrage, prescrit nos produits dans les plans",Responsable achats,False,1
True,Chaud,"Budget signé, commande probable d'ici 3 semaines, très motivé",Conducteur de travaux,True,1
True,Chaud,"Projet 500m² confirmé, budget débloqué, veut démarrer rapidement",Architecte,False,1
False,Froid,"Très attaché à son fournisseur actuel, pas ouvert à un changement",Promoteur immobilier,True,0
True,Chaud,"Projet en cours de chiffrage, reviendra vers nous dans 2-3 mois",Chef d'agence négoce,True,1
False,Chaud,"Travaille déjà avec Isover, fidèle mais ouvert à tester sur un petit chantier",Chef d'agence négoce,True,1
False,Froid,"A chiffré avec un concurrent 15% moins cher, demande alignement tarifaire",Architecte,True,0
False,Chaud,"Enthousiaste, a posé des questions très précises sur les délais de livraison",Chef d'agence négoce,True,0
False,Tiède,"Processus d'achat centralisé, décision pas entre ses mains",Architecte,True,0
True,Chaud,"Chantier en cours, satisfait de notre produit, commande complémentaire prévue",Chef d'agence négoce,False,1
False,Tiède,"Intéressé par le produit, mais son cycle d'achat est long",Architecte,False,1
False,Tiède,"Trouve notre offre trop chère, Saint-Gobain proposé 15% moins cher",Architecte,False,0
True,Chaud,"Réunion très engagée, a pris des notes, veut une offre ferme cette semaine",Architecte,True,1
True,Chaud,"Référencement en cours, premier chantier prévu en mars, volume 200m²",Conducteur de travaux,True,1
True,Chaud,"Chantier prévu avril, budget ok, compare encore avec Saint-Gobain",Architecte,False,1
False,Tiède,"Sensible à notre argumentaire, mais concurrent en place depuis 3 ans",Architecte,False,1
False,Tiède,"Projet en cours de chiffrage, reviendra vers nous dans 2-3 mois",Promoteur immobilier,True,0
False,Tiède,"Projet en stand-by, décision reportée, pas d'urgence",Architecte,True,0
False,Tiède,"Bon contact mais la marge est serrée, veut une remise supplémentaire",Conducteur de travaux,True,1
False,Tiède,"Budget limité, cherche une alternative moins chère, à voir si on peut s'aligner",Conducteur de travaux,False,0
False,Froid,"Projet en attente de financement, aucune date de réalisation prévue",Conducteur de travaux,True,0
False,Froid,"Réunion informative, pas d'engagement, veut comparer les options",Conducteur de travaux,False,0
False,Chaud,"A évoqué Saint-Gobain comme référence, veut des arguments différenciants",Chef d'agence négoce,True,0
False,Tiède,"Sensible au service, moins au prix, à convaincre sur notre SAV",Chef d'agence négoce,True,0
False,Tiède,"Projet public validé, commande officielle attendue sous la semaine prochaine",Conducteur de travaux,False,1
False,Froid,"Sensible au rapport qualité/prix, attend un geste commercial pour avancer",Architecte,True,0
True,Chaud,"Deadline fin du mois, project manager sur place, décision rapide attendue",Conducteur de travaux,False,1
False,Tiède,"Projet à confirmer, dépend d'un appel d'offres en cours",Conducteur de travaux,True,1
True,Tiède,"Référencement en cours, premier chantier prévu en avril, volume moyenne importance",Chef d'agence négoce,True,1
True,Chaud,"Urgence réelle, son fournisseur habituel en rupture, cherche une solution immédiate",Conducteur de travaux,False,1
True,Tiède,"Chantier 500m² à venir, souhaite un partenariat durable avec nous",Chef d'agence négoce,True,1
True,Chaud,Pas de décision avant le prochain comité de direction en juin,Conducteur de travaux,True,0
False,Froid,"Pas de budget prévu cette année, à relancer en Q3",Architecte,False,0
False,Tiède,"A chiffré avec un concurrent 15% moins cher, demande alignement tarifaire",Conducteur de travaux,False,0
False,Tiède,"N'a pas pris de notes, pas de questions, clairement pas intéressé",Promoteur immobilier,True,0
False,Chaud,"Satisfait de son fournisseur actuel, pas de raison évidente de changer",Promoteur immobilier,False,0
True,Chaud,"Veut diversifier ses fournisseurs, budget alloué, premier essai en vue",Responsable achats,False,1
False,Tiède,Pas de décision avant le prochain comité de direction en avril,Promoteur immobilier,True,0
False,Tiède,"A évoqué Saint-Gobain comme référence, veut des arguments différenciants",Responsable achats,True,0
True,Chaud,"Partenaire potentiel, budget alloué, premier achat prévu ce trimestre",Promoteur immobilier,True,1
True,Chaud,"Chantier de 200 logements en cours, cherche un fournisseur fiable rapidement",Architecte,False,0
True,Chaud,"Chantier prévu avril, budget ok, compare encore avec Saint-Gobain",Chef d'agence négoce,True,1
True,Chaud,"Travaille déjà avec Isover, fidèle mais ouvert à tester sur un petit chantier",Responsable achats,False,0
False,Froid,"Intéressé mais trouve nos prix trop élevés, compare avec Knauf",Promoteur immobilier,True,1
False,Froid,"Pas sensible à nos arguments, resté sur ses positions tout au long de l'entretien",Conducteur de travaux,True,0
True,Chaud,"Travaille déjà avec Isover, fidèle mais ouvert à tester sur un petit chantier",Architecte,False,1
False,Tiède,"Bon feeling en réunion, mais projet encore au stade de l'étude de faisabilité",Conducteur de travaux,False,0
True,Chaud,"Urgence réelle, son fournisseur habituel en rupture, cherche une solution immédiate",Conducteur de travaux,True,1
False,Tiède,"Demande de devis pour 200m² de matériaux, livraison souhaitée avant mai",Promoteur immobilier,False,1
True,Tiède,"Marché conclu avec le client final, besoin de livrer en fin du mois",Architecte,False,1
False,Tiède,"A demandé un rendez-vous de suivi dans 1 mois, pas de décision avant",Conducteur de travaux,False,0
False,Froid,"Satisfait de son fournisseur actuel, pas de raison évidente de changer",Promoteur immobilier,True,1
False,Froid,"Hésitant sur la qualité, a mentionné un problème passé avec un produit similaire",Promoteur immobilier,False,0
False,Froid,"Sensible au rapport qualité/prix, attend un geste commercial pour avancer",Conducteur de travaux,False,1
True,Froid,"Besoin urgent avant fin mai, veut avancer rapidement, pas de concurrent mentionné",Conducteur de travaux,False,1
False,Froid,"Projet reporté à une date indéterminée, pas de budget alloué actuellement",Responsable achats,False,0
False,Chaud,"Réunion très engagée, a pris des notes, veut une offre ferme cette semaine",Architecte,True,1
False,Tiède,"Veut diversifier ses fournisseurs, budget alloué, premier essai en vue",Promoteur immobilier,False,1
True,Tiède,"Projet validé par la direction, attend notre offre technique et commerciale",Chef d'agence négoce,False,1
True,Tiède,"Chantier un lot complet à venir, souhaite un partenariat durable avec nous",Conducteur de travaux,False,1
False,Tiède,"Satisfait de son fournisseur actuel, pas de raison évidente de changer",Promoteur immobilier,False,1
False,Tiède,"Bon contact mais la marge est serrée, veut une remise supplémentaire",Chef d'agence négoce,False,1
False,Froid,"Concurrent bien installé avec un contrat cadre, difficile de rentrer",Architecte,False,0
False,Froid,"Bonne réunion, ouvert à une proposition, dépend du budget annuel",Architecte,True,0
False,Tiède,"Hésitant sur la qualité, a mentionné un problème passé avec un produit similaire",Responsable achats,False,0
True,Chaud,"Budget signé, commande probable d'ici 3 semaines, très motivé",Responsable achats,True,1
True,Chaud,"Volume important prévu sur l'année, demande tarifs et conditions",Chef d'agence négoce,True,1
False,Froid,"Avis défavorable du bureau d'études, difficile de convaincre",Architecte,False,0
False,Tiède,"Sous contrat cadre avec un concurrent, difficile de rentrer à court terme",Responsable achats,True,1
False,Tiède,"Bon contact mais la marge est serrée, veut une remise supplémentaire",Chef d'agence négoce,False,0
True,Tiède,"Pas sensible à nos arguments, resté sur ses positions tout au long de l'entretien",Conducteur de travaux,False,0
True,Tiède,Pas de décision avant le prochain comité de direction en juin,Architecte,False,0
True,Tiède,"Peu réceptif, réunion courte, pas de suite prévue",Promoteur immobilier,False,1
True,Froid,"Nouveau chantier démarré, besoin urgent de matériaux, budget OK",Conducteur de travaux,True,1
False,Tiède,"Travaille déjà avec Isover, fidèle mais ouvert à tester sur un petit chantier",Promoteur immobilier,True,0
True,Chaud,"Travaille déjà avec Isover, fidèle mais ouvert à tester sur un petit chantier",Chef d'agence négoce,True,0
False,Chaud,"Réunion productive, a partagé les specs du projet mais rien de signé",Responsable achats,False,0
True,Chaud,"Chantier de 200 logements en cours, cherche un fournisseur fiable rapidement",Architecte,True,1
True,Tiède,"Réunion informative, pas d'engagement, veut comparer les options",Responsable achats,False,0
False,Tiède,"Sous contrat cadre avec un concurrent, difficile de rentrer à court terme",Chef d'agence négoce,True,0
True,Froid,"A comparé avec un concurrent, leur offre est plus compétitive",Architecte,True,0
False,Froid,"N'a pas pris de notes, pas de questions, clairement pas intéressé",Responsable achats,True,0
True,Chaud,"Veut diversifier ses fournisseurs, budget alloué, premier essai en vue",Conducteur de travaux,True,1
False,Tiède,"Projet en stand-by, décision reportée, pas d'urgence",Promoteur immobilier,False,0
False,Tiède,"Sous contrat cadre avec un concurrent, difficile de rentrer à court terme",Conducteur de travaux,True,1
True,Chaud,"Très intéressé par nos produits, demande un devis pour un chantier de un lot complet",Responsable achats,True,1
True,Tiède,"Skeptique sur la performance, veut voir des résultats de tests d'abord",Responsable achats,False,0
False,Tiède,"Projet en attente de financement, aucune date de réalisation prévue",Conducteur de travaux,True,0
False,Froid,"Pas de budget disponible cette année, peut-être l'année prochaine",Conducteur de travaux,True,0
False,Froid,"Pas sensible à nos arguments, resté sur ses positions tout au long de l'entretien",Chef d'agence négoce,False,0
False,Tiède,"Projet validé par la direction, attend notre offre technique et commerciale",Architecte,True,1
True,Chaud,"Chantier démarré en juin, veut sécuriser les approvisionnements maintenant",Architecte,False,1
True,Tiède,"A mentionné un projet pour le second semestre, pas de budget encore validé",Architecte,True,0
True,Chaud,"Premier chantier avec nous, mais très motivé, budget sécurisé",Promoteur immobilier,True,1
False,Chaud,"Budget annuel disponible, cherche à référencer un nouveau fournisseur rapidement",Responsable achats,False,0
